event,seq,utc,detail
RECONNECT,7897,2026-09-26T17:22:41.635Z,connected
ACK,7897,2026-09-26T17:22:41.730Z,
ACK,7898,2026-09-26T17:22:41.834Z,
ACK,7899,2026-09-26T17:22:41.964Z,
ACK,7900,2026-09-26T17:22:42.089Z,
ACK,7901,2026-09-26T17:22:42.194Z,
ACK,7902,2026-09-26T17:22:42.294Z,
ACK,7903,2026-09-26T17:22:42.407Z,
ACK,7904,2026-09-26T17:22:42.498Z,
ACK,7905,2026-09-26T17:22:42.609Z,
ACK,7906,2026-09-26T17:22:42.699Z,
ACK,7907,2026-09-26T17:22:42.822Z,
ACK,7908,2026-09-26T17:22:42.912Z,
ACK,7909,2026-09-26T17:22:43.021Z,
ACK,7910,2026-09-26T17:22:43.131Z,
ACK,7911,2026-09-26T17:22:43.225Z,
ACK,7912,2026-09-26T17:22:43.329Z,
ACK,7913,2026-09-26T17:22:43.447Z,
ACK,7914,2026-09-26T17:22:43.534Z,
ACK,7915,2026-09-26T17:22:43.635Z,
ACK,7916,2026-09-26T17:22:43.809Z,
ACK,7917,2026-09-26T17:22:43.906Z,
ACK,7918,2026-09-26T17:22:43.998Z,
ACK,7919,2026-09-26T17:22:44.111Z,
ACK,7920,2026-09-26T17:22:44.202Z,
ACK,7921,2026-09-26T17:22:44.301Z,
ACK,7922,2026-09-26T17:22:44.401Z,
ACK,7923,2026-09-26T17:22:44.512Z,
ACK,7924,2026-09-26T17:22:44.605Z,
ACK,7925,2026-09-26T17:22:44.706Z,
ACK,7926,2026-09-26T17:22:44.798Z,
ACK,7927,2026-09-26T17:22:44.904Z,
ACK,7928,2026-09-26T17:22:45.005Z,
ACK,7929,2026-09-26T17:22:45.104Z,
ACK,7930,2026-09-26T17:22:45.210Z,
ACK,7931,2026-09-26T17:22:45.306Z,
ACK,7932,2026-09-26T17:22:45.404Z,
ACK,7933,2026-09-26T17:22:45.505Z,
ACK,7934,2026-09-26T17:22:45.611Z,
ACK,7935,2026-09-26T17:22:45.707Z,
ACK,7936,2026-09-26T17:22:45.805Z,
ACK,7937,2026-09-26T17:22:45.907Z,
ACK,7938,2026-09-26T17:22:46.010Z,
ACK,7939,2026-09-26T17:22:46.108Z,
ACK,7940,2026-09-26T17:22:46.210Z,
ACK,7941,2026-09-26T17:22:46.315Z,
ACK,7942,2026-09-26T17:22:46.409Z,
ACK,7943,2026-09-26T17:22:46.533Z,
ACK,7944,2026-09-26T17:22:46.640Z,
ACK,7945,2026-09-26T17:22:46.734Z,
ACK,7946,2026-09-26T17:22:46.845Z,
ACK,7947,2026-09-26T17:22:46.935Z,
ACK,7948,2026-09-26T17:22:47.210Z,
ACK,7949,2026-09-26T17:22:47.304Z,
ACK,7950,2026-09-26T17:22:47.400Z,
ACK,7951,2026-09-26T17:22:47.542Z,
ACK,7952,2026-09-26T17:22:47.631Z,
ACK,7953,2026-09-26T17:22:47.732Z,
ACK,7954,2026-09-26T17:22:47.831Z,
ACK,7955,2026-09-26T17:22:47.935Z,
ACK,7956,2026-09-26T17:22:48.080Z,
ACK,7957,2026-09-26T17:22:48.179Z,
ACK,7958,2026-09-26T17:22:48.298Z,
ACK,7959,2026-09-26T17:22:48.399Z,
ACK,7960,2026-09-26T17:22:48.528Z,
ACK,7961,2026-09-26T17:22:48.619Z,
ACK,7962,2026-09-26T17:22:48.730Z,
ACK,7963,2026-09-26T17:22:48.838Z,
ACK,7964,2026-09-26T17:22:48.972Z,
ACK,7965,2026-09-26T17:22:49.098Z,
ACK,7966,2026-09-26T17:22:49.241Z,
ACK,7967,2026-09-26T17:22:49.344Z,
ACK,7968,2026-09-26T17:22:49.441Z,
ACK,7969,2026-09-26T17:22:49.540Z,
ACK,7970,2026-09-26T17:22:49.650Z,
ACK,7971,2026-09-26T17:22:49.770Z,
ACK,7972,2026-09-26T17:22:49.865Z,
ACK,7973,2026-09-26T17:22:49.963Z,
ACK,7974,2026-09-26T17:22:50.063Z,
ACK,7975,2026-09-26T17:22:50.160Z,
ACK,7976,2026-09-26T17:22:50.263Z,
ACK,7977,2026-09-26T17:22:50.364Z,
ACK,7978,2026-09-26T17:22:50.460Z,
ACK,7979,2026-09-26T17:22:50.568Z,
ACK,7980,2026-09-26T17:22:50.665Z,
ACK,7981,2026-09-26T17:22:50.764Z,
ACK,7982,2026-09-26T17:22:50.866Z,
ACK,7983,2026-09-26T17:22:50.966Z,
ACK,7984,2026-09-26T17:22:51.063Z,
ACK,7985,2026-09-26T17:22:51.184Z,
ACK,7986,2026-09-26T17:22:51.279Z,
ACK,7987,2026-09-26T17:22:51.375Z,
ACK,7988,2026-09-26T17:22:51.477Z,
ACK,7989,2026-09-26T17:22:51.586Z,
ACK,7990,2026-09-26T17:22:51.681Z,
ACK,7991,2026-09-26T17:22:51.864Z,
ACK,7992,2026-09-26T17:22:51.971Z,
ACK,7993,2026-09-26T17:22:52.085Z,
ACK,7994,2026-09-26T17:22:52.178Z,
ACK,7995,2026-09-26T17:22:52.280Z,
ACK,7996,2026-09-26T17:22:52.374Z,
ACK,7997,2026-09-26T17:22:52.472Z,
ACK,7998,2026-09-26T17:22:52.579Z,
ACK,7999,2026-09-26T17:22:52.698Z,
ACK,8000,2026-09-26T17:22:52.789Z,
ACK,8001,2026-09-26T17:22:52.900Z,
ACK,8002,2026-09-26T17:22:53.007Z,
ACK,8003,2026-09-26T17:22:53.094Z,
ACK,8004,2026-09-26T17:22:53.199Z,
ACK,8005,2026-09-26T17:22:53.308Z,
ACK,8006,2026-09-26T17:22:53.410Z,
ACK,8007,2026-09-26T17:22:53.504Z,
ACK,8008,2026-09-26T17:22:53.602Z,
ACK,8009,2026-09-26T17:22:53.708Z,
ACK,8010,2026-09-26T17:22:53.801Z,
ACK,8011,2026-09-26T17:22:53.949Z,
ACK,8012,2026-09-26T17:22:54.038Z,
ACK,8013,2026-09-26T17:22:54.136Z,
ACK,8014,2026-09-26T17:22:54.285Z,
ACK,8015,2026-09-26T17:22:54.398Z,
ACK,8016,2026-09-26T17:22:54.487Z,
ACK,8017,2026-09-26T17:22:54.593Z,
ACK,8018,2026-09-26T17:22:54.691Z,
ACK,8019,2026-09-26T17:22:54.791Z,
ACK,8020,2026-09-26T17:22:54.889Z,
ACK,8021,2026-09-26T17:22:54.998Z,
ACK,8022,2026-09-26T17:22:55.090Z,
ACK,8023,2026-09-26T17:22:55.189Z,
ACK,8024,2026-09-26T17:22:55.321Z,
ACK,8025,2026-09-26T17:22:55.428Z,
ACK,8026,2026-09-26T17:22:55.540Z,
ACK,8027,2026-09-26T17:22:55.683Z,
ACK,8028,2026-09-26T17:22:55.998Z,
ACK,8029,2026-09-26T17:22:56.156Z,
ACK,8030,2026-09-26T17:22:56.255Z,
ACK,8031,2026-09-26T17:22:56.360Z,
ACK,8032,2026-09-26T17:22:56.448Z,
ACK,8033,2026-09-26T17:22:56.714Z,
ACK,8034,2026-09-26T17:22:56.805Z,
ACK,8035,2026-09-26T17:22:56.903Z,
ACK,8036,2026-09-26T17:22:57.013Z,
ACK,8037,2026-09-26T17:22:57.149Z,
ACK,8038,2026-09-26T17:22:57.260Z,
ACK,8039,2026-09-26T17:22:57.352Z,
ACK,8040,2026-09-26T17:22:57.494Z,
ACK,8041,2026-09-26T17:22:57.612Z,
ACK,8042,2026-09-26T17:22:57.716Z,
ACK,8043,2026-09-26T17:22:57.805Z,
ACK,8044,2026-09-26T17:22:57.907Z,
ACK,8045,2026-09-26T17:22:58.007Z,
ACK,8046,2026-09-26T17:22:58.105Z,
ACK,8047,2026-09-26T17:22:58.203Z,
ACK,8048,2026-09-26T17:22:58.524Z,
ACK,8049,2026-09-26T17:22:58.646Z,
ACK,8050,2026-09-26T17:22:58.750Z,
ACK,8051,2026-09-26T17:22:58.863Z,
ACK,8052,2026-09-26T17:22:58.959Z,
ACK,8053,2026-09-26T17:22:59.051Z,
ACK,8054,2026-09-26T17:22:59.155Z,
ACK,8055,2026-09-26T17:22:59.315Z,
ACK,8056,2026-09-26T17:22:59.405Z,
ACK,8057,2026-09-26T17:22:59.510Z,
ACK,8058,2026-09-26T17:22:59.609Z,
ACK,8059,2026-09-26T17:22:59.726Z,
ACK,8060,2026-09-26T17:22:59.815Z,
ACK,8061,2026-09-26T17:23:00.124Z,
ACK,8062,2026-09-26T17:23:00.222Z,
ACK,8063,2026-09-26T17:23:00.330Z,
ACK,8064,2026-09-26T17:23:00.448Z,
ACK,8065,2026-09-26T17:23:00.542Z,
ACK,8066,2026-09-26T17:23:00.642Z,
ACK,8067,2026-09-26T17:23:00.753Z,
ACK,8068,2026-09-26T17:23:00.848Z,
ACK,8069,2026-09-26T17:23:00.944Z,
ACK,8070,2026-09-26T17:23:01.045Z,
ACK,8071,2026-09-26T17:23:01.145Z,
ACK,8072,2026-09-26T17:23:01.260Z,
ACK,8073,2026-09-26T17:23:01.350Z,
ACK,8074,2026-09-26T17:23:01.452Z,
ACK,8075,2026-09-26T17:23:01.570Z,
ACK,8076,2026-09-26T17:23:01.669Z,
ACK,8077,2026-09-26T17:23:01.758Z,
ACK,8078,2026-09-26T17:23:01.949Z,
ACK,8079,2026-09-26T17:23:02.046Z,
ACK,8080,2026-09-26T17:23:02.141Z,
ACK,8081,2026-09-26T17:23:02.238Z,
ACK,8082,2026-09-26T17:23:02.339Z,
ACK,8083,2026-09-26T17:23:02.441Z,
ACK,8084,2026-09-26T17:23:02.541Z,
ACK,8085,2026-09-26T17:23:02.638Z,
ACK,8086,2026-09-26T17:23:02.740Z,
ACK,8087,2026-09-26T17:23:02.841Z,
ACK,8088,2026-09-26T17:23:02.941Z,
ACK,8089,2026-09-26T17:23:03.044Z,
ACK,8090,2026-09-26T17:23:03.144Z,
ACK,8091,2026-09-26T17:23:03.240Z,
ACK,8092,2026-09-26T17:23:03.344Z,
ACK,8093,2026-09-26T17:23:03.449Z,
ACK,8094,2026-09-26T17:23:03.570Z,
ACK,8095,2026-09-26T17:23:03.666Z,
